event_start,event_end,event_peak,event_peak_D_s-1,event_peak_D_1e5_s-1,duration_hours,year,month,season_year,detection_threshold_s-1,detection_threshold_1e5_s-1,slp_diff_hpa,zeta_box_mean_s-1,slp_climatology_mean_hpa,slp_climatology_std_hpa,monsoon_type,shinoda_class,episode_span_hours,threshold_hit_hours,merged_subevents_count,total_internal_gap_hours,max_internal_gap_hours
2001-02-07 04:00:00,2001-02-07 15:00:00,2001-02-07 10:00:00,-2.9270392896609764e-05,-2.9270392896609763,12,2001,2,2001,-1.957567489476574e-05,-1.957567489476574,4.2293750000000045,-2.899066312385593e-06,8.544206619262695,8.269665718078613,Type 2 weak-monsoon,Type 2 weak-monsoon,12,12,1,0.0,0.0
2001-02-13 19:00:00,2001-02-13 22:00:00,2001-02-13 21:00:00,-2.097046847197273e-05,-2.0970468471972725,4,2001,2,2001,-1.957567489476574e-05,-1.957567489476574,12.964374999999905,-5.381345936888023e-06,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,4,4,1,0.0,0.0
2001-02-15 14:00:00,2001-02-16 00:00:00,2001-02-15 19:00:00,-3.534550551453876e-05,-3.534550551453876,11,2001,2,2001,-1.957567489476574e-05,-1.957567489476574,4.5750781250000045,5.988656610122404e-06,8.544206619262695,8.269665718078613,Type 2 weak-monsoon,Type 2 weak-monsoon,11,11,1,0.0,0.0
2001-11-13 07:00:00,2001-11-13 13:00:00,2001-11-13 09:00:00,-2.1912558738521643e-05,-2.1912558738521644,7,2001,11,2002,-1.8216529439979125e-05,-1.8216529439979128,6.912812500000086,-7.953582458514058e-06,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,7,7,1,0.0,0.0
2001-11-25 01:00:00,2001-11-25 06:00:00,2001-11-25 04:00:00,-2.0384255012273925e-05,-2.0384255012273926,6,2001,11,2002,-1.8216529439979125e-05,-1.8216529439979128,15.521875000000025,1.182677221485599e-05,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,6,6,1,0.0,0.0
2001-11-25 20:00:00,2001-11-26 01:00:00,2001-11-25 22:00:00,-1.9231861385665374e-05,-1.9231861385665376,6,2001,11,2002,-1.8216529439979125e-05,-1.8216529439979128,14.108281250000005,-2.8327564216615416e-06,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,6,6,1,0.0,0.0
2001-12-04 22:00:00,2001-12-05 04:00:00,2001-12-05 01:00:00,-2.916594921143368e-05,-2.916594921143368,7,2001,12,2002,-2.5691567478831536e-05,-2.5691567478831536,4.89453125,-1.1086218037451607e-05,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,7,7,1,0.0,0.0
2001-12-20 21:00:00,2001-12-21 14:00:00,2001-12-21 06:00:00,-3.851886166773449e-05,-3.851886166773449,18,2001,12,2002,-2.5691567478831536e-05,-2.5691567478831536,1.7958593749999636,7.54796227507001e-06,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,18,18,1,0.0,0.0
2001-12-23 16:00:00,2001-12-23 21:00:00,2001-12-23 19:00:00,-2.9543623827833105e-05,-2.9543623827833105,6,2001,12,2002,-2.5691567478831536e-05,-2.5691567478831536,4.339687499999968,1.95858774865413e-06,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,6,6,1,0.0,0.0
2002-01-01 12:00:00,2002-01-02 07:00:00,2002-01-01 23:00:00,-3.925669839369744e-05,-3.925669839369744,20,2002,1,2002,-2.4251929268451687e-05,-2.4251929268451686,22.587578124999936,4.137136202157566e-06,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,20,20,1,0.0,0.0
2002-01-07 05:00:00,2002-01-07 16:00:00,2002-01-07 10:00:00,-3.1788877112691744e-05,-3.1788877112691742,12,2002,1,2002,-2.4251929268451687e-05,-2.4251929268451686,-6.205703125000014,2.1826403074107543e-05,11.12716293334961,8.703954696655273,Type 2 weak-monsoon,Type 2 weak-monsoon,12,12,1,0.0,0.0
2002-01-21 22:00:00,2002-01-22 06:00:00,2002-01-22 03:00:00,-2.7816002473218e-05,-2.7816002473218,9,2002,1,2002,-2.4251929268451687e-05,-2.4251929268451686,20.49781250000001,2.245206002937802e-05,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1B higher-vorticity,9,9,1,0.0,0.0
2002-01-22 22:00:00,2002-01-23 04:00:00,2002-01-23 01:00:00,-2.573744114967815e-05,-2.573744114967815,7,2002,1,2002,-2.4251929268451687e-05,-2.4251929268451686,21.978593750000076,1.1899939637243269e-05,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,7,7,1,0.0,0.0
2002-01-28 03:00:00,2002-01-28 16:00:00,2002-01-28 09:00:00,-3.5337843004718336e-05,-3.533784300471833,14,2002,1,2002,-2.4251929268451687e-05,-2.4251929268451686,20.188828124999983,1.4530654317910726e-06,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,14,14,1,0.0,0.0
2002-02-08 11:00:00,2002-02-08 21:00:00,2002-02-08 16:00:00,-3.217414825145647e-05,-3.2174148251456467,11,2002,2,2002,-1.957567489476574e-05,-1.957567489476574,16.62914062499999,7.905058081083086e-06,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,11,11,1,0.0,0.0
2002-02-17 14:00:00,2002-02-17 19:00:00,2002-02-17 17:00:00,-2.3683985447720072e-05,-2.368398544772007,6,2002,2,2002,-1.957567489476574e-05,-1.957567489476574,9.2610937500001,2.246516772713308e-05,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1B higher-vorticity,6,6,1,0.0,0.0
2002-11-01 11:00:00,2002-11-01 14:00:00,2002-11-01 11:00:00,-2.177389659693145e-05,-2.177389659693145,4,2002,11,2003,-1.8216529439979125e-05,-1.8216529439979128,17.83234374999995,2.416498980075224e-06,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,4,4,1,0.0,0.0
2002-11-03 00:00:00,2002-11-04 15:00:00,2002-11-04 03:00:00,-3.7395635187998137e-05,-3.7395635187998137,40,2002,11,2003,-1.8216529439979125e-05,-1.8216529439979128,17.69226562499989,4.6259782436699245e-06,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,40,36,2,5.0,5.0
2002-11-07 19:00:00,2002-11-08 14:00:00,2002-11-08 04:00:00,-3.221485188500231e-05,-3.221485188500232,20,2002,11,2003,-1.8216529439979125e-05,-1.8216529439979128,14.523281249999968,1.888776120124867e-05,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1B higher-vorticity,20,20,1,0.0,0.0
2002-11-11 18:00:00,2002-11-12 00:00:00,2002-11-11 21:00:00,-2.33327369028024e-05,-2.33327369028024,7,2002,11,2003,-1.8216529439979125e-05,-1.8216529439979128,13.563281250000044,2.0383807124048655e-05,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1B higher-vorticity,7,7,1,0.0,0.0
